Name,Rating
D L Vettori,805
B A W Mendis,740
Saeed Ajmal,736
S W Tait,728
Shahid Afridi,718
J Botha,717
M G Johnson,705
D W Steyn,688
G P Swann,686
S C J Broad,669
Harbhajan Singh,662
Umar Gul,656
S L Malinga,646
D P Nannes,613
D J G Sammy,605
Mohammad Amir,603
S J Benn,602
N L McCullum,593
J E Taylor,579
R J Sidebottom,575
Shakib Al Hasan,565
Abdur Razzak,563
M Morkel,557
D T Johnston,554
P Utseya,514
K D Mills,495
S T Jayasuriya,490
R W Price,470
A D Mathews,469
R E van der Merwe,468
Abdul Razzaq,466
K M D Kulasekara,462
J A Morkel,459
S P D Smith,459
M Muralitharan,457
J D P Oram,450
S B Styris,436
Hamid Hassan,436
I G Butler,432
I K Pathan,429
B Lee,429
D J J Bravo,427
D J Hussey,425
T G Southee,418
C R D Fernando,413
A R Cusack,412
P M Seelaar,410
K A J Roach,407
W D Parnell,394
Sohail Tanvir,392
Y K Pathan,390
S R Watson,389
Mashrafe Mortaza,384
H A Varaiya,380
M H Yardy,379
T T Bresnan,377
Zaheer Khan,376
G H Dockrell,374
P W Borren,369
N O Miller,369
R A Jadeja,356
K A Pollard,353
H S Baidwan,348
Shoaib Malik,345
T M Odoyo,338
A Nehra,337
R M Haq,334
J H Kallis,328
W B Rankin,327
C H Gayle,326
J R Hopes,325
F H Edwards,325
P P Ojha,319
I Sharma,302
Samiullah Shenwari,297
P D Collingwood,297
K J O'Brien,289
Mohammad Nabi,287
G D Drummond,286
Rizwan Cheema,284
Mudassar Bukhari,278
Mohammad Hafeez,274
B W Hilfenhaus,271
R McLaren,269
L J Wright,265
Yasir Arafat,260
E Chigumbura,257
Shapoor Zadran,249
M J Clarke,243
Mohammad Ashraful,238
R Rampaul,232
H Osinde,230
Abdur Rehman,227
C B Mpofu,225
J E C Franklin,221
M Ntini,216
R D Berrington,214
Yuvraj Singh,209
T M Dilshan,199
Karim Sadiq,198
